Symbol,Name,Asset Class,Assets,Avg. Daily Volume,Price,Inverse,Leveraged,Smart Beta,Currency Hedged,1 Week Returns,1 Month Returns,YTD Price Change,1 Year Returns,3 Year Returns,5 Year Returns,1 Week FF,4 Week FF,YTD FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Annual Dividend Rate,Dividend Date,Dividend, Annual Dividend Yield %, Dividend Frequency, Standard Deviation,P/E Ratio,Beta,5-Day Volatility,20-Day Volatility,50-Day Volatility,200-Day Volatility,Issuer,# of Holdings,% In Top 10,% In Top 15,% In Top 50,ST Cap Gains,LT Cap Gains,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity,Expenses,Performance,Volatility,ETF Database Pro,Dividend.1,Concentration,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),ESG Exclusion Criteria (%),Sustainable Impact Solutions (%),Type
IEMG,iShares Core MSCI Emerging Markets ETF,Equity,80290900000,11286451,51.95,False,False,False,False,-0.36%,-6.01%,-0.52%,7.11%,1.64%,6.91%,0.0,0.0,2792.22168,3517.52004,10618.3629,28106.76648,Emerging Markets Equities,2012-10-18,0.09%,1.67,2024-12-17,1.16,3.13%,Semi-Annually,1.74%,10.56,0.75,99.83%,37.71%,27.57%,21.70%,BlackRock Inc.,2654,22.20%,25.80%,38.67%,40%,20%,1099,48.23,56.66,51.60,52.29,46.36,A,A,B+,B-,A,A-,A,5.8,13.25%,32.11%,317.59,2.91%,4.49%,Equity
IWF,iShares Russell 1000 Growth ETF,Equity,91163900000,1962417,332.54,False,False,True,False,-5.58%,-9.68%,-17.10%,5.68%,8.67%,15.50%,317.768719,698.739762,665.146532,997.719219,4111.335912,-4675.092783,Large Cap Growth Equities,2000-05-22,0.19%,1.79,2025-03-18,0.40,0.51%,Quarterly,26.39%,26.1,1.08,222.49%,55.26%,39.72%,31.30%,BlackRock Inc.,394,56.57%,65.25%,82.32%,40%,20%,1099,319.28,384.49,328.05,337.30,38.62,A,B+,A,C+,A-,B-,A-,6.35,25.55%,45.61%,31.23,7.92%,9.33%,Equity
IJR,iShares Core S&P Small-Cap ETF,Equity,69924600000,5438257,94.38,False,False,False,False,-2.16%,-11.00%,-17.84%,-6.69%,-2.64%,11.91%,-157.274339,-769.463933,-1879.342263,2074.188627,8522.596209,18316.809844,Small Cap Blend Equities,2000-05-22,0.06%,2.36,2025-03-18,0.32,2.41%,Quarterly,6.94%,11.9,1.15,184.79%,49.15%,34.40%,27.25%,BlackRock Inc.,604,6.21%,8.57%,22.47%,40%,20%,1099,88.56,110.45,93.31,95.52,37.79,A+,A,B-,B+,A-,A-,B+,5.75,33.68%,31.21%,111.89,2.75%,7.91%,Equity
IWM,iShares Russell 2000 ETF,Equity,57612100000,34001883,182.74,False,False,False,False,-2.03%,-10.88%,-17.11%,-4.30%,-2.00%,10.04%,-353.333099,-4036.024115,-4445.778351,2519.017695,3945.465213,9626.559363,Small Cap Blend Equities,2000-05-22,0.19%,2.47,2025-03-18,0.46,1.30%,Quarterly,13.65%,10.96,1.15,179.32%,46.94%,33.43%,27.04%,BlackRock Inc.,1930,4.28%,5.84%,14.92%,40%,20%,1099,171.13,212.18,180.57,185.10,38.17,A+,B+,B-,B,A-,B+,A,5.38,10.93%,26.05%,113.87,2.58%,7.21%,Equity
IJH,iShares Core S&P Mid-Cap ETF,Equity,83762300000,11501764,53.60,False,False,False,False,-2.67%,-9.35%,-13.75%,-3.99%,1.23%,13.46%,-126.311584,-93.961525,485.403635,7880.931242,17138.598065,18299.399415,Mid Cap Growth Equities,2000-05-22,0.05%,0.83,2025-03-18,0.16,1.49%,Quarterly,3.12%,12.82,1.12,163.64%,49.37%,34.41%,26.71%,BlackRock Inc.,402,6.36%,9.16%,25.30%,40%,20%,1099,50.60,61.55,52.91,54.43,39.65,A,A-,C+,B,A-,A,B+,6.1,59.68%,38.32%,114.16,4.12%,7.13%,Equity
VIG,Vanguard Dividend Appreciation ETF,Equity,83059300000,1321568,180.17,False,False,True,False,-3.53%,-6.92%,-7.55%,5.38%,5.32%,12.04%,128.99591,823.145861,865.311764,3601.805212,6623.103942,14406.990628,Large Cap Growth Equities,2006-04-21,0.05%,3.55,2025-03-27,0.94,1.91%,Quarterly,9.03%,21.5,0.85,99.28%,39.06%,26.95%,20.65%,Vanguard,339,30.92%,40.82%,71.12%,40%,20%,1099,173.75,200.25,177.99,182.61,40.13,A,A,A-,A,A,A-,B,6.75,66.35%,62.01%,84.17,7.17%,1.86%,Equity
EFA,iShares MSCI EAFE ETF,Equity,57411300000,16598439,80.66,False,False,False,False,1.05%,-4.18%,6.68%,9.28%,6.72%,11.15%,336.2751,575.4528,575.4528,3166.75008,-255.2016,-6514.50594,Foreign Large Cap Equities,2001-08-14,0.32%,2.45,2024-12-17,1.06,2.97%,Semi-Annually,2.46%,13.43,0.86,123.93%,40.32%,28.29%,21.80%,BlackRock Inc.,698,12.82%,17.52%,37.34%,40%,20%,1099,73.89,86.14,79.98,81.45,50.44,A+,B+,B+,B,A,B,A,7.67,64.05%,91.99%,79.53,14.02%,6.85%,Equity
IWD,iShares Russell 1000 Value ETF,Equity,56919100000,2520521,172.90,False,False,True,False,-3.01%,-8.03%,-6.21%,3.30%,2.98%,12.36%,-754.812679,64.318816,-2166.508396,3036.073037,-2165.007066,2981.514204,Large Cap Blend Equities,2000-05-22,0.19%,3.50,2025-03-18,0.80,1.96%,Quarterly,8.34%,14.89,0.95,118.31%,39.93%,27.52%,21.18%,BlackRock Inc.,872,18.21%,22.90%,42.93%,40%,20%,1099,165.61,194.92,170.84,175.26,39.81,A,A-,B-,B,A-,B+,A,6.39,32.66%,47.32%,165.64,15.81%,4.04%,Equity
VO,Vanguard Mid-Cap ETF,Equity,71237400000,916594,240.07,False,False,False,False,-2.74%,-7.72%,-8.71%,3.81%,2.02%,12.46%,20.7571,1034.407316,3652.47756,6967.957334,13509.043302,23669.981321,Mid Cap Growth Equities,2004-01-26,0.04%,4.14,2025-03-27,1.17,1.66%,Quarterly,14.10%,18.4,1.08,141.72%,43.36%,30.26%,23.49%,Vanguard,308,8.21%,11.39%,30.25%,40%,20%,1099,228.05,270.20,236.87,244.01,40.9,A-,A,B-,B-,B,A,B-,6.75,92.74%,62.12%,212.68,8.70%,5.93%,Equity
VGT,Vanguard Information Technology ETF,Equity,70855700000,779932,491.75,False,False,False,False,-6.12%,-12.50%,-20.82%,3.02%,8.75%,17.13%,140.069291,596.138367,2405.871587,8322.209501,10156.787403,14930.725612,Technology Equities,2004-01-26,0.09%,3.19,2025-03-25,0.73,0.61%,Quarterly,42.52%,27.4,1.16,194.99%,63.40%,45.79%,36.66%,Vanguard,311,59.57%,65.52%,82.60%,40%,20%,1099,465.59,584.88,485.05,498.26,38.32,A,A,A-,B+,A,A-,A,7.06,78.50%,75.30%,22.99,3.22%,13.21%,Equity
VXUS,Vanguard Total International Stock ETF,Equity,83395000000,4694865,61.10,False,False,False,False,0.68%,-4.19%,3.99%,8.99%,4.74%,10.21%,154.514387,910.307631,4645.891719,11475.058538,27135.934645,55583.596699,Foreign Large Cap Equities,2011-01-26,0.05%,1.95,2025-03-21,0.19,3.08%,Quarterly,1.78%,12.2,0.85,123.65%,38.10%,26.74%,20.68%,Vanguard,8407,11.68%,14.86%,27.21%,40%,20%,1099,56.23,65.33,60.63,61.63,49.7,A,A,A-,B-,A,B,A,7.04,11.43%,74.23%,180.73,9.11%,6.03%,Equity
VB,Vanguard Small Cap ETF,Equity,55108300000,1129514,202.27,False,False,False,False,-2.84%,-10.26%,-15.48%,-2.90%,0.01%,12.07%,-70.953577,23.69158,496.162665,4291.721372,9674.893394,18067.066326,Small Cap Blend Equities,2004-01-26,0.05%,3.38,2025-03-27,0.92,1.60%,Quarterly,14.18%,13.3,1.14,160.54%,50.11%,35.28%,27.60%,Vanguard,1370,4.45%,6.00%,14.87%,40%,20%,1099,190.84,234.65,199.78,205.23,38.72,A,A,A-,A-,A,A-,A-,6.03,55.95%,36.91%,123.12,5.22%,6.95%,Equity
XLK,Technology Select Sector SPDR Fund,Equity,58260800000,5949697,187.88,False,False,False,False,-6.14%,-11.80%,-19.06%,-1.74%,8.76%,17.40%,269.058595,-48.769403,-586.708279,-611.356033,2636.250451,3793.973183,Technology Equities,1998-12-16,0.09%,1.56,2025-03-24,0.38,0.79%,Quarterly,13.53%,23.77,1.14,225.29%,62.97%,45.35%,35.97%,State Street,71,61.52%,71.52%,96.58%,40%,20%,1099,178.54,221.55,185.28,190.39,38.98,A+,A,A-,A-,A,A,B+,7.33,86.34%,83.84%,18.81,5.67%,12.58%,Equity
ITOT,iShares Core S&P Total U.S. Stock Market ETF,Equity,60930300000,2399343,112.12,False,False,False,False,-4.37%,-9.07%,-12.58%,4.42%,5.68%,14.07%,33.640229,2500.527099,3531.22979,6918.854766,9452.105093,16939.304228,Large Cap Growth Equities,2004-01-20,0.03%,1.63,2025-03-18,0.36,1.39%,Quarterly,7.03%,18.56,1.02,143.48%,48.00%,33.52%,25.74%,BlackRock Inc.,2412,29.57%,35.00%,51.53%,40%,20%,1099,107.57,128.20,110.76,113.66,38.78,A,A,B-,B,A,B+,A,6.34,23.82%,45.03%,95.39,11.10%,6.92%,Equity
XLF,Financial Select Sector SPDR Fund,Equity,45996800000,56234613,45.65,False,False,False,False,-3.18%,-7.71%,-5.21%,14.80%,8.38%,17.90%,-933.100679,-1442.139882,656.354769,3754.712217,-352.065027,11272.027473,Financials Equities,1998-12-16,0.09%,0.71,2025-03-24,0.18,1.49%,Quarterly,3.82%,12.51,1.07,32.06%,45.12%,32.00%,25.04%,State Street,75,55.85%,65.54%,94.64%,40%,20%,1099,43.44,51.83,45.01,46.41,41.02,A+,A,A-,B+,A,B-,B+,6.31,37.15%,44.14%,24.23,12.83%,0.14%,Equity
VYM,Vanguard High Dividend Yield Index ETF,Equity,55311900000,1639589,118.70,False,False,True,False,-2.94%,-7.94%,-6.36%,5.44%,4.36%,12.69%,-197.482804,-403.216584,-1451.830541,495.090599,5484.395122,13386.999884,Large Cap Blend Equities,2006-11-10,0.06%,3.69,2025-03-21,0.85,3.03%,Quarterly,6.16%,14.8,0.84,116.65%,38.20%,26.52%,20.60%,Vanguard,590,24.23%,30.89%,58.98%,40%,20%,1099,113.92,133.12,117.30,120.21,39.73,A,A,C+,B+,A,A,A-,6.6,47.84%,56.04%,198.6,12.58%,1.65%,Equity
IVW,iShares S&P 500 Growth ETF,Equity,46941200000,2520106,85.89,False,False,True,False,-5.61%,-9.19%,-15.31%,8.81%,6.56%,14.35%,48.618583,-723.625752,-810.99133,2093.130037,6522.547637,1956.504557,Large Cap Growth Equities,2000-05-22,0.18%,0.46,2025-03-18,0.11,0.51%,Quarterly,6.75%,20.79,1.05,164.43%,54.75%,39.41%,31.15%,BlackRock Inc.,212,49.02%,59.24%,80.59%,40%,20%,1099,82.58,98.69,84.73,87.21,39.35,A,B+,A,C+,A,A,B+,6.41,37.65%,48.20%,50.37,11.23%,10.80%,Equity
VEU,Vanguard FTSE All-World ex-US Index Fund,Equity,40536200000,3247097,59.59,False,False,False,False,0.64%,-4.34%,4.11%,9.34%,5.18%,10.25%,432.419518,631.093577,964.878277,603.932519,3127.823947,10041.197173,Foreign Large Cap Equities,2007-03-02,0.04%,1.84,2025-03-21,0.19,3.02%,Quarterly,1.78%,12.2,0.82,115.19%,38.16%,26.84%,20.70%,Vanguard,3722,11.99%,15.51%,29.15%,40%,20%,1099,54.89,63.79,59.15,60.07,49.54,A,A,A-,B-,A,B,A,7.12,14.88%,77.64%,176.0,9.79%,5.98%,Equity
SCHX,Schwab U.S. Large-Cap ETF,Equity,48000300000,13113858,20.30,False,False,False,False,-4.52%,-8.96%,-12.18%,4.83%,6.25%,14.32%,433.461,926.496,1840.9865,7948.602925,8431.376925,13712.836925,Large Cap Growth Equities,2009-11-03,0.03%,0.24,2025-03-26,0.07,1.10%,Quarterly,1.25%,18.9,1.01,175.48%,47.03%,32.91%,25.27%,The Charles Schwab Corp.,750,31.26%,37.13%,55.01%,40%,20%,1099,19.52,23.19,20.05,20.58,38.7,A,A,B,B,A,A-,A,6.4,34.30%,47.57%,92.98,11.80%,7.05%,Equity
XLV,Health Care Select Sector SPDR Fund,Equity,34219400000,9817062,132.57,False,False,False,False,-4.31%,-9.48%,-3.26%,-3.05%,-0.27%,7.48%,-53.942941,-746.325916,-895.382234,-1882.174075,-3104.584911,3100.770078,Health & Biotech Equities,1998-12-16,0.09%,2.34,2025-03-24,0.57,1.72%,Quarterly,5.05%,16.67,0.7,73.73%,30.22%,21.42%,17.81%,State Street,61,56.71%,69.48%,98.23%,40%,20%,1099,130.52,149.31,130.97,134.77,36.2,A,A,C+,A,A,A,B+,6.58,63.50%,54.88%,11.53,0.00%,6.93%,Equity
IXUS,iShares Core MSCI Total International Stock ETF,Equity,39256100000,2550176,68.65,False,False,False,False,0.66%,-4.35%,3.79%,8.89%,4.65%,10.03%,0.0,-94.0926,260.16002,2265.20459,6591.76704,15324.23423,Foreign Large Cap Equities,2012-10-18,0.07%,2.20,2024-12-17,1.18,3.09%,Semi-Annually,1.99%,12.16,0.84,120.04%,38.75%,27.18%,20.94%,BlackRock Inc.,4215,9.15%,12.07%,24.76%,40%,20%,1099,63.19,73.50,68.11,69.24,49.5,A,A,A-,B+,A,B,A,7.03,10.71%,73.87%,163.75,9.35%,6.17%,Equity
IWR,iShares Russell Midcap ETF,Equity,36969700000,1974400,78.58,False,False,False,False,-2.69%,-8.40%,-10.84%,1.24%,1.65%,12.30%,80.00757,833.778486,1964.939714,3922.848249,5455.674898,7350.095443,Mid Cap Blend Equities,2001-07-17,0.19%,1.17,2025-03-18,0.26,1.43%,Quarterly,4.74%,16.45,1.09,155.39%,46.73%,32.69%,25.27%,BlackRock Inc.,808,7.16%,9.50%,23.12%,40%,20%,1099,74.41,89.30,77.55,79.79,40.49,A+,A-,B+,B,A,B,A,6.57,85.96%,54.68%,185.14,6.55%,5.74%,Equity
IWB,iShares Russell 1000 ETF,Equity,36018000000,1080989,282.09,False,False,False,False,-4.42%,-8.93%,-12.20%,4.84%,6.10%,14.27%,115.436478,963.377558,-199.328995,411.57946,854.39722,-795.252055,Large Cap Growth Equities,2000-05-15,0.15%,3.64,2025-03-18,0.83,1.24%,Quarterly,17.57%,19.16,1.01,176.63%,47.41%,33.08%,25.36%,BlackRock Inc.,1007,30.76%,36.51%,53.89%,40%,20%,1099,270.96,322.09,278.67,285.87,38.79,A,A-,B-,B+,A,B+,A,6.37,28.35%,46.37%,94.5,11.64%,6.83%,Equity
RSP,Invesco S&P 500® Equal Weight ETF,Equity,66173400000,10274244,159.39,False,False,True,False,-2.86%,-8.30%,-8.60%,0.57%,1.57%,13.52%,163.79856,-116.00998,851.0551,14516.78282,32347.24726,46245.13592,Large Cap Blend Equities,2003-04-24,0.20%,1.45,2025-03-24,0.83,0.88%,Quarterly,7.47%,16.14,1.05,138.91%,42.80%,29.31%,22.40%,Invesco,505,2.48%,3.63%,11.46%,40%,20%,1099,152.11,180.18,157.52,161.46,40.08,A+,A-,B-,B-,A-,B,A-,6.81,83.64%,64.78%,196.64,10.10%,5.72%,Equity
SCHD,Schwab US Dividend Equity ETF,Equity,65734000000,18095754,25.03,False,False,True,False,-2.23%,-9.65%,-7.56%,1.11%,1.27%,12.67%,73.011,1479.159,5092.3975,13417.576029,32255.815029,49346.793529,Large Cap Blend Equities,2011-10-20,0.06%,0.87,2025-03-26,0.25,3.43%,Quarterly,1.18%,14.91,0.88,128.12%,38.28%,26.76%,20.77%,The Charles Schwab Corp.,101,41.49%,58.71%,94.71%,40%,20%,1099,23.79,28.83,24.75,25.33,38.85,A,A,C+,B-,B+,A,C+,6.74,64.18%,61.89%,83.8,11.41%,0.98%,Equity
EEM,iShares MSCI Emerging Markets ETF,Equity,15833400000,29095387,41.91,False,False,False,False,-0.52%,-6.45%,0.22%,8.06%,1.14%,5.47%,0.0,-140.23116,-1129.371435,-1641.61755,-10617.05106,-5989.15773,Emerging Markets Equities,2003-04-07,0.72%,1.02,2024-12-17,0.73,2.35%,Semi-Annually,1.49%,10.53,0.74,99.45%,38.31%,28.14%,22.19%,BlackRock Inc.,1172,25.90%,29.96%,44.87%,40%,20%,1099,38.88,45.91,41.61,42.22,46.14,A+,C+,B+,C+,A-,B+,A,5.96,27.32%,35.48%,297.28,2.88%,4.37%,Equity
DIA,SPDR Dow Jones Industrial Average ETF Trust,Equity,35250000000,3318529,381.62,False,False,False,False,-5.82%,-8.95%,-9.93%,2.11%,4.70%,12.07%,2083.724783,2075.729385,1741.828888,3810.586972,2569.848868,4617.761185,Large Cap Growth Equities,1998-01-14,0.16%,6.69,2025-04-17,0.20,1.69%,Monthly,21.60%,16.82,0.94,107.76%,40.38%,28.13%,21.76%,State Street,31,54.58%,72.96%,100.00%,40%,20%,1099,373.76,435.84,377.08,387.43,37.02,A,B+,C,A,B+,A,C,6.96,89.96%,71.06%,22.34,17.66%,3.74%,Equity
USMV,iShares MSCI USA Min Vol Factor ETF,Equity,23278600000,2991405,88.20,False,False,True,False,-3.19%,-4.69%,-0.32%,11.35%,5.80%,10.28%,116.357561,162.233888,256.164535,-3133.833038,-9452.013515,-22176.267945,Volatility Hedged Equity,2011-10-18,0.15%,1.45,2025-03-18,0.33,1.61%,Quarterly,4.31%,21.16,0.75,52.92%,31.55%,21.89%,17.00%,BlackRock Inc.,182,16.28%,23.39%,59.44%,40%,20%,1099,85.91,95.72,87.18,89.45,42.36,A,A-,A-,A,A+,A,B,6.6,68.03%,55.85%,217.5,12.93%,5.11%,Equity
SCHF,Schwab International Equity ETF,Equity,43341900000,11481396,19.64,False,False,False,False,1.13%,-3.63%,6.16%,8.90%,5.92%,11.26%,0.0,0.0,466.894,4969.599,10701.488,15478.535,Foreign Large Cap Equities,2009-11-03,0.06%,0.60,2024-12-13,0.42,3.01%,Semi-Annually,0.56%,11.7,0.87,118.15%,39.06%,27.32%,21.11%,The Charles Schwab Corp.,1442,10.52%,14.57%,31.47%,40%,20%,1099,17.99,20.88,19.48,19.82,50.95,A,A,B+,B-,A,A-,A,7.56,48.93%,89.77%,104.27,12.75%,6.59%,Equity
VV,Vanguard Large Cap ETF,Equity,36204900000,555390,236.43,False,False,False,False,-4.64%,-8.83%,-12.04%,5.39%,6.56%,14.40%,66.975114,-678.521505,1180.608842,1374.767677,3635.863514,6019.825565,Large Cap Growth Equities,2004-01-27,0.04%,3.40,2025-03-27,0.89,1.38%,Quarterly,14.69%,20.3,1.01,162.49%,48.43%,33.71%,25.90%,Vanguard,479,33.32%,39.55%,58.27%,40%,20%,1099,227.32,269.78,233.57,239.56,39.04,A-,A,B,B,A-,B+,A-,6.34,24.95%,45.33%,90.17,12.15%,6.62%,Equity
VBR,Vanguard Small Cap Value ETF,Equity,26406400000,604003,169.80,False,False,True,False,-2.16%,-9.85%,-13.76%,-3.16%,0.62%,15.31%,-2.244174,-196.808737,-984.04435,100.015355,686.866095,5748.653625,Small Cap Value Equities,2004-01-26,0.07%,4.22,2025-03-27,1.24,2.39%,Quarterly,10.76%,10.8,1.15,173.96%,47.24%,32.82%,25.57%,Vanguard,839,5.70%,7.94%,21.04%,40%,20%,1099,160.12,195.80,167.71,172.25,38.94,A,A,B+,A-,A+,A-,A,6.21,67.84%,41.17%,152.59,6.04%,6.18%,Equity
XLE,Energy Select Sector SPDR Fund,Equity,25995700000,19368055,79.37,False,False,False,False,0.25%,-14.15%,-6.62%,-13.68%,3.13%,24.29%,-482.893206,-1942.112019,-5437.76131,-8666.946576,-12596.843256,-3041.545049,Energy Equities,1998-12-16,0.09%,2.86,2025-03-24,0.72,3.52%,Quarterly,3.40%,8.87,1.36,144.15%,59.27%,41.88%,32.42%,State Street,25,74.17%,87.51%,100.00%,40%,20%,1099,71.65,98.98,78.44,80.36,40.43,A+,A,B,A,A,A-,B,6.56,55.17%,54.28%,389.41,0.00%,0.25%,Equity
VT,Vanguard Total World Stock ETF,Equity,40941100000,2317033,109.46,False,False,False,False,-2.41%,-7.13%,-6.52%,6.34%,5.47%,12.55%,0.742376,827.171606,1025.412789,4684.732825,11176.407094,18895.447551,Large Cap Growth Equities,2008-06-24,0.06%,2.26,2025-03-21,0.39,1.99%,Quarterly,4.86%,15.4,0.94,94.66%,42.87%,29.81%,22.89%,Vanguard,9597,18.46%,22.36%,34.37%,40%,20%,1099,103.53,121.61,108.28,110.77,42.1,A,A,C+,A-,A,A-,A+,6.57,19.58%,54.86%,122.41,10.53%,6.42%,Equity
