Ticker,Benchmark Ticker
EWA,^MSAUS
PEJ,^DYNLEIS
QQEW,^NDX
PXH,^FTEMI
IMCG,^MUMCBGGU
GEM,^GSABEM
IAT,^DJUSBK
SH,^GSPC
SPYX,^SP500ESG
ILF,^MSCIEMLAT
IHF,^DJUSHC
LRGF,^MSCIUSMF
IWX,^R1000V
XAR,^SP500AERO
SIL,^SIL
IVLU,^MSCIWVAL
XRT,^SP500RETL
SMLF,^MSCIUSSCMF
FUTY,^MSCIUSUTIL
PXF,^FTSEDEVLC
IHDG,^WISINTQDG
RWL,^R1000EQW
IPAC,^MSCIAPEXJ
REMX,^MVREMX
MLPA,^SOLMLP
FENY,^MSCIUSEN
XMMO,^S&P400MOM
PICK,^STOXXBM
PNQI,^NASDAQINT
EPI,^WISINDIA
KSA,^MSCIKSA
IAI,^DJUSIB
PEY,^WISDOMUSHD
IWL,^R1000
EWH,^MSCIHK
COPX,^S&PGLCOP
SDIV,^SOLGLODIV
FCOM,^MSCIUSCOMM
INTF,^MSCIWEXUSMF
IMTM,^MSCIWEXUSMOM
UDOW,^DJI
GUSH,^SPXEP
EWW,^M1MX2550
SILJ,^SILJ
NUGT,^GDM
EMGF,^MSCIEMMF
FSTA,^MSCIUSCS
IDU,^R1000UTIL
HDEF,^MSCIHDEAFE
DVYE,^DJEMDIV
MLPX,^SOLMLPEI
INDY,^NIFTY50
RWJ,^SP600REV
KBA,^MSCIChinaA50
EWQ,^MSCIFrance
EWD,^MSCISweden
HEZU,^MSCIEMUHDG
GRID,^NASDGRID
IYK,^R1000CS
XYLD,^SP500
LABU,^SPBIO
DIV,^SOLUSDIV
PPA,^SPAERO
EWP,^MSCISpain
CHIQ,^MSCIChinaCD
SPGM,^MSCIACWI
SPGP,^SP500GARP
EWI,^MSCIItaly
EWS,^MSCISingapore
PID,^INTDIVACH
JNUG,^GDXJ
HEWJ,^MSCIJapanHDG
ERX,^SPXEN
SPXU,^SP500
VNM,^MVISVietnam
YINN,^FTSEChina50
SDS,^SP500
RING,^GDM
BIZD,^MVISUSBDC
PSQ,^NDX
FGD,^DJGSDIV
KBWD,^KBWHDIVFIN
ECH,^MSCICHILE
FCG,^ISEUSNG
KIE,^SPINS
EUSA,^MSCIUSA
DDM,^DJI
ISCG,^MSUSSCG
USD,^DJUSSC
DPST,^SPRBK
QQQE,^NDXEQ
TZA,^RUT
EIDO,^MSCIIDN
IYZ,^R1000TEL
FXN,^STRATQEN
URTY,^RUT
SMIN,^MSCIINSC
SDOW,^DJI
FNDB,^RAFIUS
NAIL,^DJUSHB
SPEU,^STOXXTM
SPXS,^SP500
PPH,^MVPPH
EZA,^MSCIZAF
UWM,^RUT
SYLD,
HFXI,^MSCIWEXUSHDG
EPOL,^MSCIPOL
XMHQ,^SP400HQ
EDIV,^MSCIEMHY
FDD,^STOXXESDIV
PRN,^DYNINDX
SLVP,^MSCIACWISIL
TUR,^MSCITUR
DOG,^DJI
AIRR,^SPAIRR
EWM,^MSCIMAL
RWM,^RUT
QID,^NDX
SOXS,^SOX
XSMO,^SP600MOM
FXU,^STRATQUTIL
QQXT,^NDXEQ
FAZ,^SPFIN
CHAU,^FTSECHINA50
SPMO,^SP500MOM
IEZ,^SPENSC
EWZS,^MSCIBRSC
DUST,^GDM
TECS,^SPTECH
YANG,^FTSECHINA50
XCEM,^EMXSOE
FTHI,^NQUSDIV
DAX,^DAX
UTES,^UTILS
ARGT,^MSCIARG
NLR,^MVNLR
IDMO,^MSCIUSMF
WTV,^R1000V
FTQI,^NQUSDIV
